"name"                                                                                      ,"source"    ,"page" ,"rarity"          ,"reqAttune"                                                       ,"reqAttuneTags" ,"wondrous" ,"bonusSpellAttack" ,"bonusSpellSaveDc" ,"focus" ,"entries"
"Icewind Dale Trinket"                                                                      ,"IDRotF"    ,"263"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Icon of Ravenloft"                                                                         ,"CoS"       ,"222"  ,"legendary"       ,"by a creature of good alignment"                                 ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Iggwilv's Cauldron"                                                                        ,"WBtW"      ,"209"  ,"artifact"        ,"by a spellcaster"                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ignacious, the Sword of Burning Truth"                                                     ,"DoDk"      ,"234"  ,"legendary"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Illuminator's Tattoo"                                                                      ,"TCE"       ,"129"  ,"common"          ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Illusionist's Bracers"                                                                     ,"GGR"       ,"178"  ,"very rare"       ,"by a spellcaster"                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Immovable Rod"                                                                             ,"DMG"       ,"175"  ,"uncommon"        ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Inescapable Lash"                                                                          ,"TDCSR"     ,"195"  ,"rare"            ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Infernal Amulet"                                                                           ,"CoA"       ,"268"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Infernal Plate Armor"                                                                      ,"CoA"       ,"268"  ,"very rare"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Infernal Puzzle Box"                                                                       ,"BGDIA"     ,"224"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Infernal Tack"                                                                             ,"MTF"       ,"167"  ,"legendary"       ,"by a creature of evil alignment."                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Infiltrator's Key (Awakened)"                                                              ,"EGW"       ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Infiltrator's Key (Dormant)"                                                               ,"EGW"       ,"272"  ,"legendary"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Infiltrator's Key (Exalted)"                                                               ,"EGW"       ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Ingot of the Skold Rune"                                                                   ,"SKT"       ,"234"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ink (1-ounce bottle)"                                                                      ,"PHB"       ,"150"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Ink Pen"                                                                                   ,"PHB"       ,"150"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Inscrutable Staff"                                                                         ,"DoDk"      ,"233"  ,"legendary"       ,"by a sorcerer, warlock, or wizard"                               ,""              ,""         ,"+2"               ,""                 ,""      ,""
"Insect Repellent (block of incense)"                                                       ,"ToA"       ,"32"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Insect Repellent (greasy salve)"                                                           ,"ToA"       ,"32"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Insignia of Claws"                                                                         ,"HotDQ"     ,"94"   ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Instrument of Illusions"                                                                   ,"XGE"       ,"137"  ,"common"          ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Instrument of Scribing"                                                                    ,"XGE"       ,"138"  ,"common"          ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Instrument of the Bards, Anstruth Harp"                                                    ,"DMG"       ,"176"  ,"very rare"       ,"by a bard"                                                       ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Instrument of the Bards, Canaith Mandolin"                                                 ,"DMG"       ,"176"  ,"rare"            ,"by a bard"                                                       ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Instrument of the Bards, Cli Lyre"                                                         ,"DMG"       ,"176"  ,"rare"            ,"by a bard"                                                       ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Instrument of the Bards, Doss Lute"                                                        ,"DMG"       ,"176"  ,"uncommon"        ,"by a bard"                                                       ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Instrument of the Bards, Fochlucan Bandore"                                                ,"DMG"       ,"176"  ,"uncommon"        ,"by a bard"                                                       ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Instrument of the Bards, Mac-Fuirmidh Cittern"                                             ,"DMG"       ,"176"  ,"uncommon"        ,"by a bard"                                                       ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Instrument of the Bards, Ollamh Harp"                                                      ,"DMG"       ,"176"  ,"legendary"       ,"by a bard"                                                       ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ioun Stone of Vitality"                                                                    ,"IMR"       ,"94"   ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ioun Stone, Absorption"                                                                    ,"DMG"       ,"176"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ioun Stone, Agility"                                                                       ,"DMG"       ,"176"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ioun Stone, Awareness"                                                                     ,"DMG"       ,"176"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ioun Stone, Fortitude"                                                                     ,"DMG"       ,"176"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ioun Stone, Greater Absorption"                                                            ,"DMG"       ,"176"  ,"legendary"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ioun Stone, Historical Knowledge"                                                          ,"LLK"       ,"55"   ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ioun Stone, Insight"                                                                       ,"DMG"       ,"176"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ioun Stone, Intellect"                                                                     ,"DMG"       ,"176"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ioun Stone, Language Knowledge"                                                            ,"LLK"       ,"55"   ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ioun Stone, Leadership"                                                                    ,"DMG"       ,"176"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ioun Stone, Mastery"                                                                       ,"DMG"       ,"176"  ,"legendary"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ioun Stone, Natural Knowledge"                                                             ,"LLK"       ,"55"   ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ioun Stone, Protection"                                                                    ,"DMG"       ,"176"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ioun Stone, Regeneration"                                                                  ,"DMG"       ,"176"  ,"legendary"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ioun Stone, Religious Knowledge"                                                           ,"LLK"       ,"55"   ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ioun Stone, Reserve"                                                                       ,"DMG"       ,"176"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ioun Stone, Self-Preservation"                                                             ,"LLK"       ,"55"   ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ioun Stone, Strength"                                                                      ,"DMG"       ,"176"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ioun Stone, Supreme Intellect"                                                             ,"LLK"       ,"55"   ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ioun Stone, Sustenance"                                                                    ,"DMG"       ,"176"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Iron"                                                                                      ,"PHB"       ,"157"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Iron Ball"                                                                                 ,"IDRotF"    ,"238"  ,"unknown (magic)" ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Iron Bands of Bilarro"                                                                     ,"DMG"       ,"177"  ,"rare"            ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Iron Flask"                                                                                ,"DMG"       ,"178"  ,"legendary"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Iron Pot"                                                                                  ,"PHB"       ,"153"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Iron Spike"                                                                                ,"PHB"       ,"150"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Iron Spikes (10)"                                                                          ,"PHB"       ,"150"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Ironfang"                                                                                  ,"PotA"      ,"224"  ,"legendary"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Ivana's Whisper"                                                                           ,"VRGR"      ,"83"   ,"unknown"         ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Izzet Guild Signet"                                                                        ,"GGR"       ,"178"  ,"uncommon"        ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Izzet Keyrune"                                                                             ,"GGR"       ,"177"  ,"rare"            ,"by a member of the Izzet guild"                                  ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Jacinth"                                                                                   ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Jade"                                                                                      ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Jade bowl (River Heralds)"                                                                 ,"PSX"       ,"24"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Jade breastplate (River Heralds)"                                                          ,"PSX"       ,"25"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Jade game board with solid gold playing pieces"                                            ,"DMG"       ,"135"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Jade headpiece (River Heralds)"                                                            ,"PSX"       ,"24"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Jade Serpent Staff"                                                                        ,"WDMM"      ,"92"   ,"unknown (magic)" ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Jade sword with amber (River Heralds)"                                                     ,"PSX"       ,"24"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Jade totem with diamond eyes (River Heralds)"                                              ,"PSX"       ,"25"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Jakarion's Staff of Frost"                                                                 ,"CoS"       ,"187"  ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Jasper"                                                                                    ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Javelin of Backbiting"                                                                     ,"TftYP"     ,"229"  ,"very rare"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Javelin of Lightning"                                                                      ,"DMG"       ,"178"  ,"uncommon"        ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Jester's Mask"                                                                             ,"BMT"       ,"36"   ,"legendary"       ,"by a bard, sorcerer, or warlock"                                 ,""              ,"true"     ,"+3"               ,"+3"               ,""      ,""
"Jet"                                                                                       ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Jewel of Three Prayers (Awakened)"                                                         ,"CRCotN"    ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Jewel of Three Prayers (Dormant)"                                                          ,"CRCotN"    ,"213"  ,"legendary"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Jewel of Three Prayers (Exalted)"                                                          ,"CRCotN"    ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Jeweled anklet"                                                                            ,"DMG"       ,"135"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Jeweled anklet (Brazen Coalition)"                                                         ,"PSX"       ,"25"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Jeweled gold crown"                                                                        ,"DMG"       ,"135"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Jeweled platinum ring"                                                                     ,"DMG"       ,"135"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Jeweler's Tools"                                                                           ,"PHB"       ,"154"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Jug"                                                                                       ,"PHB"       ,"153"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Junky +1 Dagger"                                                                           ,"TftYP"     ,"77"   ,"unknown (magic)" ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Kagonesti Forest Shroud"                                                                   ,"DSotDQ"    ,"190"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Keelboat"                                                                                  ,"DMG"       ,"119"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Keg of Alchemist's Fire"                                                                   ,"LoX"       ,"35"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Keoghtom's Ointment"                                                                       ,"DMG"       ,"179"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Keycharm"                                                                                  ,"ERLW"      ,"277"  ,"common"          ,"by a creature with the Mark of Warding"                          ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Keystone of Creation"                                                                      ,"AitFR-AVT" ,"12"   ,"artifact"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Khrusor, Spear of Heliod"                                                                  ,"MOT"       ,"200"  ,"artifact"        ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Kiss of the Changebringer (Awakened)"                                                      ,"TDCSR"     ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Kiss of the Changebringer (Dormant)"                                                       ,"TDCSR"     ,"206"  ,"legendary"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Kiss of the Changebringer (Exalted)"                                                       ,"TDCSR"     ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Knave's Eye Patch"                                                                         ,"WDH"       ,"191"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Knife of Stolen Resistance"                                                                ,"CoA"       ,"268"  ,"rare"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Knifewing Cape"                                                                            ,"GHLoE"     ,"111"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Korolnor Scepter"                                                                          ,"SKT"       ,"234"  ,"legendary"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Kyrzin's Ooze"                                                                             ,"ERLW"      ,"278"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ladder (10-foot)"                                                                          ,"PHB"       ,"150"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Lamp"                                                                                      ,"PHB"       ,"152"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Lamprey Ship"                                                                              ,"AAG"       ,"34"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Lantern of Revealing"                                                                      ,"DMG"       ,"179"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Lantern of Tracking"                                                                       ,"IDRotF"    ,"314"  ,"common"          ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Lapis Lazuli"                                                                              ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Large gold bracelet"                                                                       ,"DMG"       ,"135"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Large gold bracelet (Legion of Dusk)"                                                      ,"PSX"       ,"24"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Large jade totem (River Heralds)"                                                          ,"PSX"       ,"24"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Large well-made tapestry"                                                                  ,"DMG"       ,"135"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Large well-made tapestry (Legion of Dusk)"                                                 ,"PSX"       ,"24"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Lash of Immolation"                                                                        ,"BGG"       ,"113"  ,"rare"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Lash of Shadows (Awakened)"                                                                ,"EGW"       ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Lash of Shadows (Dormant)"                                                                 ,"EGW"       ,"276"  ,"artifact"        ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Lash of Shadows (Exalted)"                                                                 ,"EGW"       ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Leather Golem Armor"                                                                       ,"LLK"       ,"55"   ,"rare"            ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Leatherworker's Tools"                                                                     ,"PHB"       ,"154"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Lesser Hammock of Worlds"                                                                  ,"JttRC"     ,"214"  ,"legendary"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Libram of Souls and Flesh"                                                                 ,"TCE"       ,"129"  ,"rare"            ,"by a wizard"                                                     ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Lifewell Tattoo"                                                                           ,"TCE"       ,"129"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Lightbringer"                                                                              ,"LMoP"      ,"48"   ,"uncommon"        ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Lightbringer"                                                                              ,"PaBTSO"    ,"72"   ,"uncommon"        ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Lightning Absorbing Tattoo"                                                                ,"TCE"       ,"119"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Lindwyrm Venom"                                                                            ,"GHLoE"     ,"111"  ,"very rare"       ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Linen (1 sq. yd.)"                                                                         ,"PHB"       ,"157"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Living Gloves"                                                                             ,"ERLW"      ,"278"  ,"uncommon"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Living Loot Satchel"                                                                       ,"AI"        ,"25"   ,"varies"          ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Living Ship"                                                                               ,"AAG"       ,"36"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Loadstone"                                                                                 ,"TftYP"     ,"228"  ,"rare"            ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Loaf of Bread"                                                                             ,"PHB"       ,"158"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Lock"                                                                                      ,"PHB"       ,"152"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Lock of Trickery"                                                                          ,"XGE"       ,"138"  ,"common"          ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Longbow of the Healing Hearth"                                                             ,"BGG"       ,"113"  ,"legendary"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Longship"                                                                                  ,"DMG"       ,"119"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Lord Commander's Badge"                                                                    ,"DoDk"      ,"233"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Lord's Ensemble"                                                                           ,"WDH"       ,"191"  ,"very rare"       ,"by a creature with a humanoid build"                             ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Lorehold Primer"                                                                           ,"SCC"       ,"39"   ,"uncommon"        ,"by a spellcaster"                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Lost Crown of Besilmer"                                                                    ,"PotA"      ,"223"  ,"legendary"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Lost Sword"                                                                                ,"CoS"       ,"81"   ,"unknown (magic)" ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Luba's Tarokka of Souls"                                                                   ,"TCE"       ,"129"  ,"artifact"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Lucent Destroyer"                                                                          ,"BGG"       ,"113"  ,"very rare"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Luminous War Pick"                                                                         ,"PaBTSO"    ,"217"  ,"rare"            ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Lute crafted of exotic wood with mother-of-pearl inlay and zircon gems (Brazen Coalition)" ,"PSX"       ,"24"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Luxon Beacon"                                                                              ,"EGW"       ,"268"  ,"legendary"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Lycanthropy Antidote"                                                                      ,"GHLoE"     ,"111"  ,"rare"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Lyre of Building"                                                                          ,"TCE"       ,"131"  ,"rare"            ,"by a bard"                                                       ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Mace of Disruption"                                                                        ,"DMG"       ,"179"  ,"rare"            ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Mace of Smiting"                                                                           ,"DMG"       ,"179"  ,"rare"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Mace of Terror"                                                                            ,"DMG"       ,"180"  ,"rare"            ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Mace of the Black Crown (Awakened)"                                                        ,"EGW"       ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Mace of the Black Crown (Dormant)"                                                         ,"EGW"       ,"276"  ,"artifact"        ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Mace of the Black Crown (Exalted)"                                                         ,"EGW"       ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Macuahuitl"                                                                                ,"TftYP"     ,"70"   ,"unknown (magic)" ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Maddgoth's Helm"                                                                           ,"WDMM"      ,"103"  ,"very rare"       ,"by a humanoid"                                                   ,""              ,""         ,""                 ,""                 ,""      ,""
"Magician's Judge"                                                                          ,"TDCSR"     ,"196"  ,"rare"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Magnifying Glass"                                                                          ,"PHB"       ,"152"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Malachite"                                                                                 ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Malice"                                                                                    ,"DMG"       ,"258"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
